갯수,문제,답변,핵심정리,비슷한 문제 출제 빈도(상/중/하)
1,2도 화상의 증상,"진피층까지 손상되어 물집과 진물이 생기는 상태로, 화상 부위를 식히고 물집을 보호하는 것이 중요","2도 화상 → 물집, 진피 손상
찬물 냉각 → 물집 보호 → 심하면 병원 방문",상
2,운동 시 타겟 근육뿐 아니라 다른 근육도 어쩔수없이 같이 운동 되는 이유,"우리 몸은 단 하나의 근육만 독립적으로 움직이도록 설계되어 있지 않다, 부상 방지와 효율성을 위한 신체의 '협응 시스템' 때문","근육의 협응 시스템, 관절 안정화",상
3,성폭력 예방 방법,"지도자는 정기적인 인권 교육을 이수하고, 불필요한 신체 접촉을 피하며, 올바른 언어 사용과 상호 존중의 문화를 조성해야 함.","인권 교육, 신체 접촉 주의, 존중 문화 형성",상
4,ATP 설명 및 구조,"아데노신 1개와 인산기 3개가 결합된 화합물로, 인산 하나가 떨어져 나갈 때 발생하는 에너지가 근수축의 직접적인 에너지원으로 사용됨.","아데노신 1개 + 인산 3개, 근수축의 1차 에너지원",상
5,심폐소생술 절차,"환자의 의식을 확인하고 119에 신고한 뒤, 가슴압박 30회와 인공호흡 2회를 번갈아 가며 실시함.",의식 확인 → 119 신고 → 가슴압박(30) → 인공호흡(2),상
6,트레이닝 지도 시 신체접촉 시 인권침해 안 하는 방법,"반드시 사전에 회원의 동의를 구하고, 접촉 부위와 목적을 명확히 설명하며, 최소한의 터치나 도구를 활용하여 지도해야 함.","사전 동의 필수, 목적 설명, 최소한의 터치",상
7,근수축 종류,"등장성(이두컬), 등척성(플랭크), 등속성(재활)","등장성(단축성/신장성), 등척성(길이 일정), 등속성(속도 일정)",상
8,아세틸콜린 설명,"운동 신경 말단에서 분비되는 신경전달물질로, 근육 세포막의 수용체와 결합하여 근수축 신호를 전달하는 핵심 역할을 함.","신경-근육 접합부 신경전달물질, 근수축 신호 전달",중
9,여자 비키니 경기 순서 및 설명,"예선에서는 쿼터턴을 통한 비교 심사를 진행하고, 결선에서는 선수 개인의 I-워킹(개인 프레젠테이션) 후 전체 라인업하여 쿼터턴 비교 심사로 순위를 결정함.",예선: 쿼터턴 비교 심사 / 결선: I-워킹 후 쿼터턴 비교,상
10,도핑 검사 시 선수의 기본권,"검사관의 신분 확인 요구권, 검사 절차에 대한 설명 요구권, 대리인이나 통역을 동반할 권리, 결과에 대한 이의제기권이 있음.","검사관 신분 확인, 절차 설명 요구, 대리인 동반, 이의제기",상
11,데드리프트 시 허리 세우는 근육 2가지,척추기립근과 광배근이 주로 척추를 세우고 고정하는 역할을 함.,"척추기립근(신전), 광배근(고정)",중
12,스포츠 폭력,"스포츠 현장에서 우월한 지위를 이용하여 신체적, 정신적, 성적으로 고통을 가하는 일체의 권력형 가해 행위를 말함.",지위를 이용한 신체/정신/성적 고통 가해,상
13,피부 연부조직과 관련된 골절의 종류,"뼈가 부러졌지만 피부 밖으로 나오지 않은 폐쇄성 골절과, 부러진 뼈가 피부를 뚫고 나와 감염 위험이 높은 개방성 골절이 있음.","폐쇄성 골절(피부 안), 개방성 골절(피부 밖, 감염위험)",중
14,주요 에너지원 3개와 유산소/무산소 운동 시 무슨 에너지가 쓰이고 에너지원은 무엇인가,"탄수화물, 단백질, 지방이며, 단거리나 무산소 운동은 주로 탄수화물을, 장거리 유산소 운동은 탄수화물과 지방을 혼합 사용함.","탄/단/지, 무산소=탄수화물, 유산소=지방 혼합",상
15,일일 소비대사량에 대해 말하시오,"하루 동안 소비하는 총 에너지로 기초대사량, 활동대사량, 식사성 발열효과(식이성 열발생), 적응대사량으로 구성됨.",기초대사량 + 활동대사량 + 식사성 발열효과,상
16,화상 응급처치에 대해 말하시오,"즉시 흐르는 차가운 물로 15분 이상 열기를 식히고, 물집은 터뜨리지 않으며 깨끗한 거즈로 덮어 감염을 막은 후 병원으로 이동함.",15분 이상 냉각 → 물집 보존 → 거즈 덮고 병원,상
17,데드리프트 시 척추 안전성 도와주는 근육,"다열근, 복횡근, 횡격막, 골반기저근이 복압을 형성해 척추를 안정화","목표 근육 고립, 부상 예방",중
18,생활체육 프로그램 설계 시 유의사항,"참여자의 연령, 체력 수준, 흥미를 고려하고, 목표를 명확히 설정하며, 안전성을 최우선으로 점진적이고 체계적인 단계를 거쳐 설계해야 함.","참여자 특성 고려, 안전성 최우선, 점진적 원리 적용",상
19,탄 브론저 사용규정,"문질러서 지워지는 컬러링(탄)은 전면 금지되며, 무대 오르기 24시간 전에 바르는 자연스러운 브론저나 전문 스프레이 탄닝만 허용됨.","지워지는 탄 금지, 24시간 전 브론저/스프레이 탄 허용",상
20,여자 보디피티니스 쿼터턴 라이트 지도 방법,"우향우를 한 상태로 스탠스를 넓히지 않고 시선은 심판을 향하며, 상체를 펴고 복부와 측면 근육에 자연스럽게 긴장을 주도록 지도함.","우향우 상태, 자연스러운 스탠스, 측면 근육 긴장감 표현",중
